CFSAUID,PRUID_fire,PRNAME_fire,LANDAREA_fire,num_wildfires,total_area_burned,avg_area_burned,years_with_fires,fires_per_100km2,burned_percent,PRUID_wind,PRNAME_wind,LANDAREA_wind,num_wind_events,num_tornadoes,avg_max_wind,max_max_wind,avg_path_length_km,avg_path_width_m,wind_events_per_100km2,risk_cluster,risk_label
T0C,48,Alberta,18267.1684,6,25.6,4.266666666666667,6,0.0328458131474826,0.1401421360959261,48,Alberta,18267.1684,23,9,133.75,150.0,4.67,495.0,0.1259089503986835,2,Medium
T0E,48,Alberta,31996.4341,272,60863.961,223.7645625,21,0.8500947297749033,190.22107529163696,48,Alberta,31996.4341,7,3,121.66666666666669,135.0,1.88,290.0,0.0218774378986188,0,Low
T0G,48,Alberta,61454.256,591,549753.2000000001,930.2084602368868,21,0.9616909201536832,894.5730300599523,48,Alberta,61454.256,8,2,135.0,145.0,8.48,200.0,0.0130178127939584,0,Low
T0H,48,Alberta,222929.3085,1714,2981531.801392556,1739.5168036129269,21,0.7688535937839684,1337.4337459054002,48,Alberta,222929.3085,31,9,145.0,170.0,7.41,316.6666666666667,0.0139057534465011,1,High
T0J,48,Alberta,37636.6318,6,1574.5,262.4166666666667,5,0.0159419153974346,4.183424298876819,48,Alberta,37636.6318,46,8,132.85714285714286,155.0,0.76,50.0,0.1222213513803325,0,Low
T0K,48,Alberta,24909.8299,53,83827.097,1581.6433396226414,17,0.2127674103467081,336.52215746362845,48,Alberta,24909.8299,22,9,143.33333333333334,150.0,1.0,120.0,0.0883185476910864,2,Medium
T0L,48,Alberta,28134.5502,143,47291.469,330.7095734265734,21,0.5082718542982073,168.0903681196936,48,Alberta,28134.5502,24,9,134.28571428571428,180.0,4.043333333333333,250.0,0.0853043671549438,2,Medium
T0M,48,Alberta,21253.3146,59,25546.312,432.9883389830508,16,0.2776037578627853,120.19919001246043,48,Alberta,21253.3146,31,11,160.0,275.0,7.441428571428571,375.0,0.145859601588921,2,Medium
T1A,48,Alberta,1585.0244,1,20.4,20.4,1,0.0630905114142091,1.2870464328498663,48,Alberta,1585.0244,4,1,167.5,190.0,7.8,300.0,0.2523620456568365,0,Low
T1B,48,Alberta,3971.4223,2,2887.5,1443.75,2,0.0503597917552107,72.70694934658547,48,Alberta,3971.4223,1,0,,,,,0.0251798958776053,0,Low
T1J,48,Alberta,340.0114,2,6903.9,3451.95,2,0.5882155715955406,2030.4907423692264,48,Alberta,340.0114,1,0,,,,,0.2941077857977703,0,Low
T4C,48,Alberta,711.5273,1,43.8,43.8,1,0.1405427451624133,6.155772238113703,48,Alberta,711.5273,4,0,,,,,0.5621709806496533,0,Low
T4T,48,Alberta,7240.1975,42,28955.06,689.4061904761905,15,0.5800946728317838,399.92085851249226,48,Alberta,7240.1975,2,0,,,,,0.0276235558491325,0,Low
